State,Population,Male Population,Female Population,Population Density
California,39237836,19618918.0,19618918.0,258.21
Texas,29527941,14734443.0,14793498.0,116.16
Florida,21781128,10716315.0,11064813.0,416.96
New York,19835913,9699761.0,10136152.0,433.9
Pennsylvania,12964056,6404244.0,6559812.0,292.62
Illinois,12671469,6259706.0,6411763.0,230.68
Ohio,11780017,5807548.0,5972469.0,290.7
Georgia,10799566,5270188.0,5529378.0,191.59
North Carolina,10551162,5148967.0,5402195.0,220.3
Michigan,10050811,4975151.0,5075660.0,179.26
New Jersey,9267130,4559428.0,4707702.0,1283.4
Virginia,8642274,4277926.0,4364348.0,223.36
Washington,7738692,3900301.0,3838391.0,120.37
Arizona,7276316,3630882.0,3645434.0,64.96
Massachusetts,6984723,3408545.0,3576178.0,919.82
Tennessee,6975218,3410882.0,3564336.0,171.71
Indiana,6805985,3375769.0,3430216.0,191.93
Missouri,6168187,3047084.0,3121103.0,90.26
Maryland,6165129,3002418.0,3162711.0,648.84
Wisconsin,5895908,2953850.0,2942058.0,109.97
Colorado,5812069,2940907.0,2871162.0,57.86
Minnesota,5707390,2859402.0,2847988.0,73.18
South Carolina,5190705,2522683.0,2668022.0,175.19
Alabama,5039877,2444340.0,2595537.0,100.65
Louisiana,4624047,2261159.0,2362888.0,108.67
Kentucky,4509394,2227641.0,2281753.0,115.38
Oregon,4246155,2123078.0,2123078.0,45.41
Oklahoma,3986639,1985346.0,2001293.0,58.63
Connecticut,3605597,1766743.0,1838854.0,746.7
Utah,3337975,1695691.0,1642284.0,41.67
Puerto Rico,3263584,2227641.0,2281753.0,109.32
Iowa,3193079,1602926.0,1590153.0,57.89
Nevada,3143991,1584571.0,1559420.0,29.38
Arkansas,3025891,1494790.0,1531101.0,58.43
Mississippi,2949965,1436633.0,1513332.0,63.07
Kansas,2934582,1473160.0,1461422.0,36.24
New Mexico,2115877,1051591.0,1064286.0,17.6
Nebraska,1963692,985773.0,977919.0,26.06
Idaho,1900923,954263.0,946660.0,23.24
West Virginia,1782959,887914.0,895045.0,73.88
Hawaii,1441553,725101.0,716452.0,231.01
New Hampshire,1388992,693107.0,695885.0,155.91
Maine,1372247,673773.0,698474.0,44.5
Montana,1104271,560970.0,543301.0,7.64
Rhode Island,1095610,536849.0,558761.0,1074.3
Delaware,1003384,485638.0,517746.0,522.09
South Dakota,895376,452165.0,443211.0,11.98
North Dakota,774948,399873.0,375075.0,11.75
Alaska,732673,383188.0,349485.0,1.3
District of Columbia,670050,318944.0,351106.0,109.32
Vermont,645570,320203.0,325367.0,70.34
Wyoming,578803,295768.0,283035.0,5.98
